"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_17","exp_avant_17","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_17","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_17","NB_CLUB_AVANT_17","TOP_50_AVANT_17","TOP_50_150_AVANT_17","top_restant_AVANT_17","France U16","France U17","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","Y"
164,"Milieu",3,"France","CFM - CENTRE DE FORMATION ST DE REIMS","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,12.66,2,"1","0","0",0,1,NA,NA,NA,NA,NA,2,81,1,0
185,"Defenseur",6,"France","aucun","aucun",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,37.04,2,"1","0","0",1,1,2,13,934,9,NA,10,855,10,1
187,"Attaquant",6,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","PEM - PEM REIMS",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00034,25.34,1,"0","0","1",1,1,NA,3,87,1,1,9,373,4,1
212,"Defenseur",3,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","PEM - PEM CASTELMAUROU",0,0,14.05,14.73,15.07,14.73,15.07,15.07,15.07,14.73,14.73,14.05,0,18.86,1,"0","1","0",1,1,NA,2,150,2,NA,1,90,1,0
219,"Defenseur",4,"France","aucun","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00041,38.25,2,"1","0","0",1,1,NA,2,131,2,NA,3,224,2,1
227,"Defenseur",2,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,13.07,3,"0","1","1",0,1,NA,NA,NA,NA,NA,1,89,1,0
232,"Defenseur",5,"France","aucun","aucun",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00101,20.62,1,"1","0","0",1,1,NA,6,354,4,NA,15,1298,14,0
243,"Attaquant",4,"France","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,1,NA,2,78,1,NA,3,171,2,0
248,"Attaquant",1,"France","CFM - CENTRE DE FORMATION R.C. STRASBOURG ALSACE","PEM - PEM REIMS",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00071,11.88,2,"0","0","1",1,1,NA,9,466,6,1,7,307,4,0
251,"Attaquant",7,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","PEM - PEM CLAIREFONTAINE",0,0,18.75,18.75,18.75,18.75,18.75,18.75,NA,NA,NA,NA,0.00083,67.11,1,"0","0","1",0,1,NA,NA,NA,NA,NA,1,16,NA,0
253,"Attaquant",2,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","PEM - PEM CLAIREFONTAINE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00089,13.2,3,"0","1","1",0,1,NA,NA,NA,NA,NA,2,84,1,0
259,"Gardien de But",2,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","PEM - PEM LIEVIN",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,1,NA,NA,NA,NA,NA,1,75,1,0
275,"Attaquant",1,"France","CFM - CENTRE DE FORMATION ST. MALHERBE CAEN-CALV.B.NORM.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00051,19.76,2,"0","1","1",0,1,NA,NA,NA,NA,NA,1,36,1,0
