"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_20","exp_avant_20","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_20","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_20","NB_CLUB_AVANT_20","TOP_50_AVANT_20","TOP_50_150_AVANT_20","top_restant_AVANT_20","France U16","France U17","France U18","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","Y"
253,"Attaquant",2,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","PEM - PEM CLAIREFONTAINE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00066,11.07,3,"0","1","1",0,1,0,NA,NA,NA,NA,NA,2,84,1,NA,NA,NA,NA,0
259,"Gardien de But",2,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","PEM - PEM LIEVIN",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14.46,3,"0","1","0",0,1,1,NA,NA,NA,NA,NA,1,75,1,NA,1,90,1,0
262,"Attaquant",2,"France","CFM - CENTRE DE FORMATION VALENCIENNES F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00213,47,2,"1","0","1",1,0,0,NA,2,88,1,NA,NA,NA,NA,NA,NA,NA,NA,1
264,"Milieu",6,"France","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",0,0,NA,12.32,12.32,12.32,NA,NA,NA,NA,NA,12.32,0.00068,14.6,2,"1","0","0",1,0,0,NA,5,172,2,NA,NA,NA,NA,NA,NA,NA,NA,0
275,"Attaquant",1,"France","CFM - CENTRE DE FORMATION ST. MALHERBE CAEN-CALV.B.NORM.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-04,8.93,3,"1","1","1",0,1,0,NA,NA,NA,NA,NA,1,36,1,NA,NA,NA,NA,0
280,"Milieu",1,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","PEM - PEM PLOUFRAGAN",0,1,12.84,14.44,15.05,14.44,15.3,15.3,15.05,14.44,14.44,12.84,0.00013,12.55,5,"1","0","0",1,1,1,NA,10,474,5,NA,4,129,2,NA,2,92,1,0
282,"Defenseur",2,"France","aucun","aucun",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00104,3.1,2,"1","1","0",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
287,"Gardien de But",6,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.74,2,"1","0","0",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,90,1,0
291,"Defenseur",1,"Sénégal","aucun","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,11.69,2,"1","0","0",1,0,0,NA,9,462,5,NA,NA,NA,NA,NA,NA,NA,NA,0
292,"Milieu",3,"France","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","PEM - PEM NANCY",0,0,10.47,13.87,15.7,13.87,17.37,17.37,17.98,13.13,13.13,13.87,0.00018,9.31,2,"0","1","0",0,1,0,NA,NA,NA,NA,NA,2,51,1,NA,NA,NA,NA,0
