"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_21","exp_avant_21","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_21","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_21","NB_CLUB_AVANT_21","TOP_50_AVANT_21","TOP_50_150_AVANT_21","top_restant_AVANT_21","France U16","France U17","France U18","France U19","France U20","France U21","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","U19_NB_BUT","U19_NB_MATCH_JOUE","U19_NB_MIN_JOUE","U19_TITULARISATION","U20_NB_BUT","U20_NB_MATCH_JOUE","U20_NB_MIN_JOUE","U20_TITULARISATION","U21_NB_BUT","U21_NB_MATCH_JOUE","U21_NB_MIN_JOUE","U21_TITULARISATION","Y"
3709,"Gardien de But",9,"France","CFM - ACADEMY AS MONACO FC","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,316,4,1
3737,"Defenseur",4,"Mali","CFM - ACADEMY AS MONACO FC","aucun",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00019,12.05,2,"0","1","0",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,96,1,0
3752,"Attaquant",6,"France","aucun","aucun",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00141,11.74,2,"1","0","0",1,1,1,1,0,1,5,11,715,9,NA,8,571,8,1,4,252,3,1,3,188,2,NA,NA,NA,NA,NA,1,25,NA,0
3763,"Attaquant",5,"France","aucun","aucun",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00226,9.23,1,"1","0","0",0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,6,495,5,2,12,848,10,6,16,1218,15,NA,7,242,3,0
3791,"Attaquant",7,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00043,14.3,2,"1","1","0",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,231,3,0
3831,"Milieu",4,"France","aucun","aucun",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00031,12.87,1,"1","0","0",1,1,1,1,1,1,NA,2,61,1,NA,5,197,2,1,1,90,1,NA,20,1644,20,NA,6,391,5,2,19,1547,17,1
3872,"Milieu",12,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00028,34.1,2,"1","0","1",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,567,6,1
3923,"Gardien de But",2,"France","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18.12,2,"1","0","0",1,1,1,1,1,1,NA,13,1082,13,NA,7,630,7,NA,3,270,3,NA,11,946,11,NA,6,496,6,NA,1,90,1,0
3960,"Defenseur",9,"France","aucun","PEM - PEM LIEVIN",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11.26,2,"1","1","0",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,1154,15,0
3967,"Defenseur",6,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,12.77,3,"1","0","0",0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,362,4,NA,12,960,10,NA,3,270,3,2,19,1493,16,0
