"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_18","exp_avant_18","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_18","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_18","NB_CLUB_AVANT_18","TOP_50_AVANT_18","TOP_50_150_AVANT_18","top_restant_AVANT_18","France U16","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","Y"
80,"Gardien de But",2,"France","aucun","aucun",0,0,NA,16.16,16.16,16.16,15.93,15.93,16.16,15.84,15.84,NA,0,12.02,4,"0","0","0",1,NA,1,90,1,0
86,"Milieu",6,"Sénégal","CFM - ACADEMY AS MONACO FC","PEM - PEM AIX EN PROVENCE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,1
89,"Attaquant",2,"France","CFM - CENTRE DE FORMATION MONTPELLIER HERAULT SP.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00058,25.18,3,"0","0","0",0,NA,NA,NA,NA,1
100,"Attaquant",2,"France","CFM - LOSC LILLE ASSOCIATION","PEM - PEM LIEVIN",0,0,15.24,14.76,13.92,14.76,14.76,14.76,13.84,14.84,14.84,16.16,0.00029,13.62,4,"1","0","1",0,NA,NA,NA,NA,0
111,"Milieu",1,"France","CFM - CENTRE DE FORMATION ANGERS S.C.O.","aucun",0,0,15.62,13.52,14.56,13.52,14.48,14.48,14.56,13.51,13.52,13.07,0.00014,12.52,2,"0","0","1",1,NA,4,151,2,0
128,"Milieu",8,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14.65,1,"0","0","1",0,NA,NA,NA,NA,0
137,"Defenseur",10,"France","CFM - CENTRE DE FORMATION F.C. LORIENT","aucun",0,0,10.97,12.09,12.83,12.09,NA,NA,12.83,12.09,12.09,10.97,0.00025,10.51,4,"0","1","1",0,NA,NA,NA,NA,1
158,"Attaquant",5,"Congo","CFM - CENTRE DE FORMATION AS NANCY LORRAINE","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00176,75.77,1,"0","0","0",0,NA,NA,NA,NA,1
162,"Gardien de But",3,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","PEM - PEM CLAIREFONTAINE",0,0,6.77,12.08,14.74,12.08,14.74,14.74,14.74,12.08,12.08,6.77,0,13.41,2,"0","0","1",1,NA,4,360,4,0
165,"Defenseur",2,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,0
167,"Milieu",3,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0,11.4,12.54,13.3,12.54,NA,NA,13.3,12.54,12.54,11.4,9e-05,7.32,2,"1","0","0",0,NA,NA,NA,NA,1
178,"Milieu",3,"France","CFM - CENTRE DE FORMATION F.C. NANTES","aucun",0,0,NA,14.17,14.17,14.17,18.43,18.43,10.69,10.69,10.69,NA,5e-05,30.41,1,"0","1","0",1,NA,6,274,3,0
181,"Attaquant",2,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00041,9.79,3,"1","0","0",1,1,5,201,2,0
196,"Milieu",2,"France","CFM - CENTRE DE FORMATION ANGERS S.C.O.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00053,19.52,1,"0","0","1",0,NA,NA,NA,NA,1
198,"Milieu",5,"France","CFM - LOSC LILLE ASSOCIATION","PEM - PEM LIEVIN",0,0,16.57,16.04,16.47,16.04,16.04,16.04,16.47,16.04,16.04,15.47,0.00049,11.03,3,"1","0","1",1,2,9,487,5,0
206,"Milieu",4,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,27.8,1,"0","0","1",0,NA,NA,NA,NA,0
216,"Defenseur",3,"France","CFM - CENTRE DE FORMATION A.J. AUXERROISE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e-05,12.65,2,"0","0","1",1,NA,2,117,1,0
226,"Attaquant",12,"France","aucun","aucun",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,"1","0","0",0,NA,NA,NA,NA,0
228,"Defenseur",5,"France","CFM - CENTRE DE FORMATION PARIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,11.21,3,"1","0","1",1,NA,2,103,1,1
231,"Attaquant",7,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","aucun",0,0,NA,15.36,15.36,15.36,NA,NA,15.36,15.36,15.36,NA,0.00025,13.09,1,"0","1","0",1,NA,2,55,1,0
233,"Defenseur",4,"France","CFM - CENTRE DE FORMATION F.C. LORIENT","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00018,36.77,1,"0","0","1",0,NA,NA,NA,NA,1
