"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_19","exp_avant_19","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_19","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_19","NB_CLUB_AVANT_19","TOP_50_AVANT_19","TOP_50_150_AVANT_19","top_restant_AVANT_19","France U16","France U17","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","Y"
3029,"Milieu",1,"France","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00049,8.13,4,"1","0","0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
3034,"Milieu",5,"Congo","CFM - ACADEMY AS MONACO FC","PEM - PEM CLAIREFONTAINE",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0","1","0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
3086,"Attaquant",3,"France","CFM - CENTRE DE FORMATION EN AVANT GUINGAMP","PEM - PEM SAINT-SEBASTIEN SUR LOIRE",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00227,29.4,1,"0","0","0",1,1,2,6,289,4,NA,2,40,NA,0
3087,"Gardien de But",7,"France","CFM - CENTRE DE FORMATION ST. MALHERBE CAEN-CALV.B.NORM.","aucun",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
3094,"Milieu",9,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,1,NA,NA,NA,NA,NA,4,223,2,1
3098,"Milieu",2,"France","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-04,17.62,2,"1","0","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
3103,"Attaquant",12,"France","aucun","PEM - PEM CLAIREFONTAINE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
3104,"Milieu",2,"Burkina Faso","CFM - CENTRE DE FORMATION MONTPELLIER HERAULT SP.C.","PEM - PEM AIX EN PROVENCE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
3112,"Milieu",2,"France","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00028,14.88,3,"0","1","1",0,1,NA,NA,NA,NA,NA,1,37,NA,0
3115,"Defenseur",7,"France","CFM - CENTRE DE FORMATION F.C. METZ","aucun",0,0,12.84,13.54,14.42,13.54,14.86,14.86,14.42,13.54,13.54,12.84,0.00012,13.42,1,"0","0","1",0,1,NA,NA,NA,NA,NA,1,46,1,0
