"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_16","exp_avant_16","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_16","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_16","NB_CLUB_AVANT_16","TOP_50_AVANT_16","TOP_50_150_AVANT_16","top_restant_AVANT_16","France U16","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","Y"
1608,"Milieu",11,"France","CFM - CENTRE DE FORMATION MONTPELLIER HERAULT SP.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,1,90,1,0
1623,"Milieu",1,"Thaïlande","CFM - CENTRE DE FORMATION AS NANCY LORRAINE","PEM - PEM NANCY",0,0,18.64,17.86,17.86,17.86,18.64,18.64,17.08,17.08,17.08,NA,0,43.3,1,"0","0","0",1,1,4,254,3,0
1632,"Milieu",6,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,3,110,1,0
1647,"Defenseur",3,"Algérie","CFM - LOSC LILLE ASSOCIATION","aucun",0,0,9.91,11.55,14.01,11.55,11.86,11.86,14.01,11.55,11.55,9.91,0,19.54,3,"1","0","0",1,NA,9,562,6,0
1657,"Attaquant",12,"France","aucun","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,6,14,699,5,0
1663,"Gardien de But",4,"France","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","PEM - PEM AIX EN PROVENCE",0,0,9,9,6.09,9,12.38,12.38,NA,15.29,11.9,11.9,0,17.31,2,"1","1","0",1,NA,1,90,1,0
1670,"Defenseur",2,"France","CFM - LOSC LILLE ASSOCIATION","aucun",0,0,12.5,11.78,11.42,11.78,NA,NA,11.42,11.42,11.42,12.5,5e-05,20.92,2,"1","0","1",1,NA,6,540,6,0
1672,"Milieu",9,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","PEM - PEM REIMS",0,0,NA,12.25,12.25,12.25,14.53,14.53,11.69,12.16,12.25,12.25,0.00071,16.14,3,"0","0","1",1,2,8,328,5,0
1703,"Attaquant",2,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","PEM - PEM CASTELMAUROU",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00039,14.35,3,"0","1","1",1,NA,1,44,NA,0
1719,"Attaquant",2,"France","CFM - CENTRE DE FORMATION ANGERS S.C.O.","aucun",0,0,13.8,13.91,15.73,13.91,14.71,14.71,15.73,13.91,13.91,13.8,5e-04,20.54,2,"0","0","1",1,NA,2,57,1,0
1729,"Defenseur",6,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","PEM - PEM LIEVIN",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,7,347,4,0
1746,"Gardien de But",5,"France","aucun","aucun",0,0,NA,12.68,13.12,12.68,13.88,13.88,13.12,12.84,12.84,10.91,0,14.22,2,"0","0","1",1,NA,3,270,3,0
1762,"Milieu",8,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,2,180,2,1
1776,"Defenseur",5,"France","CFM - LOSC LILLE ASSOCIATION","PEM - PEM CLAIREFONTAINE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00015,17.66,3,"1","1","0",1,NA,2,88,1,0
1782,"Attaquant",7,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,16.84,14.6,14.24,14.6,15.24,15.24,14.24,14.6,14.6,15.57,0.00057,19.76,2,"1","0","0",1,NA,2,113,2,0
1786,"Gardien de But",2,"France","CFM - CENTRE DE FORMATION F.C. NANTES","PEM - PEM CLAIREFONTAINE",0,0,NA,18.43,18.43,18.43,16.96,16.96,18.43,18.43,18.43,NA,0,16.2,2,"0","1","1",1,NA,1,90,1,0
1798,"Defenseur",6,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","PEM - PEM PLOUFRAGAN",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,1,5,450,5,0
1804,"Defenseur",11,"France","CFM - CENTRE DE FORMATION A.C. AJACCIEN","aucun",0,0,13.28,13.37,14.62,13.37,13.59,13.59,13.46,12.48,12.48,11.12,8e-05,27.55,1,"0","1","0",1,NA,4,239,3,0
1808,"Milieu",1,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,5,204,2,0
1819,"Defenseur",12,"Cameroun","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,3,16,1316,14,0
1831,"Attaquant",4,"France","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",0,0,15.53,14.32,14.83,14.32,14.42,14.42,13.82,13.51,13.51,13.79,0.00017,23.21,1,"1","0","0",1,NA,2,100,1,1
1857,"Milieu",1,"Maroc","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","PEM - PEM CLAIREFONTAINE",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"0","0","1",1,2,6,321,3,0
1861,"Defenseur",3,"Martinique","aucun","aucun",0,0,18.36,18.36,18.36,18.36,18.36,18.36,NA,NA,NA,NA,0,42.1,1,"1","0","0",1,NA,1,90,1,0
1878,"Gardien de But",2,"France","aucun","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,7,581,7,0
1904,"Milieu",5,"France","CFM - CENTRE DE FORMATION A.J. AUXERROISE","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,4,201,3,0
1913,"Defenseur",3,"Cameroun","CFM - CENTRE DE FORMATION R.C. LENSOIS","PEM - PEM LIEVIN",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,67.64,1,"0","1","0",1,NA,7,464,5,0
1926,"Milieu",2,"France","CFM - CENTRE DE FORMATION ANGERS S.C.O.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00094,42.12,1,"0","0","1",1,NA,2,83,1,0
1947,"Defenseur",5,"Sénégal","CFM - ACADEMY AS MONACO FC","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,13,1074,12,1
1963,"Milieu",3,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,17.11,16.07,15.45,16.07,16.37,16.37,14.04,15.65,15.65,18.39,0.00021,35.4,1,"1","0","0",1,NA,2,75,1,0
1964,"Defenseur",3,"France","CFM - ACADEMY AS MONACO FC","aucun",1,1,NA,18.34,18.34,18.34,18.67,18.67,18.34,18.34,18.34,NA,6e-05,27.33,3,"0","1","0",1,NA,5,275,3,1
1991,"Defenseur",2,"France","CFM - CENTRE DE FORMATION A.J. AUXERROISE","PEM - PEM CLAIREFONTAINE",0,0,NA,14.23,14.33,14.23,14.89,14.89,14.33,14.23,14.23,13.91,7e-05,27.92,2,"0","0","0",1,NA,3,146,2,0
1992,"Gardien de But",11,"France","CFM - CENTRE DE FORMATION F.C. METZ","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,4,360,4,1
2001,"Milieu",7,"France","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",0,0,NA,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,NA,2e-04,17.23,1,"0","1","0",1,NA,7,329,5,0
2026,"Milieu",3,"France","CFM - ACADEMY AS MONACO FC","PEM - PEM CLAIREFONTAINE",1,1,NA,17.17,17.17,17.17,15.74,15.74,17.17,17.17,17.17,NA,0.00051,34.7,2,"0","1","0",1,1,12,702,10,1
2027,"Defenseur",6,"France","CFM - ACADEMY AS MONACO FC","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00012,13.59,3,"1","1","0",1,NA,8,575,7,0
2039,"Attaquant",3,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","aucun",0,0,NA,9.77,9.77,9.77,NA,NA,NA,9.77,9.77,9.77,0.00064,13.3,1,"0","1","0",1,4,8,366,4,0
2069,"Defenseur",4,"France","CFM - CENTRE DE FORMATION ANGERS S.C.O.","aucun",0,0,14.62,14.62,15.6,14.62,16.34,16.34,16.26,NA,NA,NA,0.00011,29.41,1,"1","0","0",1,NA,1,90,1,0
2074,"Milieu",5,"France","CFM - CENTRE DE FORMATION AS NANCY LORRAINE","PEM - PEM NANCY",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,4,175,2,0
2079,"Defenseur",7,"Mauritanie","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,6,522,6,0
2115,"Attaquant",3,"Cote d'ivoire","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","PEM - PEM REIMS",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,2,180,2,1
2118,"Attaquant",10,"France","CFM - CENTRE DE FORMATION ST DE REIMS","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,3,11,582,7,0
2133,"Attaquant",1,"France","aucun","aucun",0,0,13.5,14.43,14.71,14.43,14.71,14.71,14.89,14.52,14.52,13.02,0.00224,33.26,1,"1","0","0",1,1,3,122,1,1
2160,"Attaquant",1,"France","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","PEM - PEM CLAIREFONTAINE",0,0,11.88,10.01,6.3,10.01,8.69,8.69,6.3,10.01,10.01,12.97,0.00131,22.5,2,"0","0","1",1,2,6,240,3,0
2186,"Attaquant",7,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00088,15.75,2,"1","0","0",1,3,14,731,8,0
2194,"Gardien de But",6,"Congo","CFM - CENTRE DE FORMATION MONTPELLIER HERAULT SP.C.","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,1,90,1,1
2197,"Milieu",4,"France","aucun","aucun",0,0,12.88,12.88,13.88,12.88,13.88,13.88,NA,11.87,11.87,11.87,0,25.44,2,"0","0","1",1,NA,2,56,1,0
2231,"Defenseur",10,"France","CFM - CENTRE DE FORMATION VALENCIENNES F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,3,270,3,1
2240,"Milieu",9,"France","aucun","PEM - PEM SAINT-SEBASTIEN SUR LOIRE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,3,181,2,0
2241,"Milieu",6,"France","CFM - CENTRE DE FORMATION A.J. AUXERROISE","PEM - PEM GUADELOUPE",0,0,14.85,15.31,16.24,15.31,NA,NA,NA,14.85,14.85,14.85,0.00053,43.25,1,"0","0","0",1,2,5,252,3,0
2248,"Milieu",8,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,2,131,2,0
2249,"Defenseur",1,"France","CFM - CENTRE DE FORMATION F.C. NANTES","PEM - PEM CLAIREFONTAINE",1,0,NA,11.52,14.27,11.52,15,15,14.27,11.51,11.52,8.76,4e-04,27.71,2,"0","1","1",1,NA,8,417,4,0
2260,"Attaquant",2,"France","CFM - ACADEMY AS MONACO FC","PEM - PEM AIX EN PROVENCE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.65,2,"0","1","1",1,NA,6,322,3,0
2269,"Milieu",3,"France","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",0,0,14.46,14.92,15.3,14.92,15.48,15.48,15.3,15.61,15.61,14.46,8e-05,14.65,1,"1","0","0",1,NA,5,319,3,0
2309,"Defenseur",7,"France","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,1,15,1194,14,1
2321,"Attaquant",4,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",0,0,NA,12.26,12.26,12.26,12.26,12.26,12.26,12.26,12.26,NA,0.00108,35.18,1,"0","0","1",1,NA,6,247,2,0
2341,"Defenseur",9,"France","CFM - CENTRE DE FORMATION A.C. AJACCIEN","PEM - PEM AJACCIO",0,0,12.77,12.83,12.92,12.83,12.77,12.77,12.92,12.83,12.83,12.77,7e-05,20.68,1,"1","0","0",1,1,1,60,1,0
2348,"Defenseur",8,"France","CFM - CENTRE DE FORMATION ST. BRESTOIS 29","aucun",0,0,11.78,10.93,11.56,10.93,10.93,10.93,11.56,10.93,10.93,11.78,0.00048,25.87,1,"1","0","0",1,NA,2,66,1,0
2350,"Defenseur",1,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,4,300,3,1
2352,"Milieu",7,"France","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00031,15.1,3,"1","1","0",1,NA,6,284,3,0
2368,"Milieu",2,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",1,0,NA,15.64,15.64,15.64,14.82,14.82,15.64,15.64,15.64,NA,0.00087,76.8,2,"1","0","0",1,3,12,903,9,1
2386,"Milieu",2,"France","aucun","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","0","0",1,NA,6,368,5,1
2412,"Defenseur",7,"France","CFM - LOSC LILLE ASSOCIATION","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,7,354,3,0
2424,"Gardien de But",3,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,7,630,7,0
