"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_18","exp_avant_18","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_18","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_18","NB_CLUB_AVANT_18","TOP_50_AVANT_18","TOP_50_150_AVANT_18","top_restant_AVANT_18","France U16","France U17","France U18","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","Y"
3011,"Milieu",7,"France","aucun","aucun",2,0,NA,12.57,12.57,12.57,NA,NA,12.57,12.57,12.57,NA,0.00058,19.78,3,"1","0","1",1,1,1,4,10,578,8,1,16,1106,13,3,7,377,4,0
3019,"Attaquant",5,"France","CFM - CENTRE DE FORMATION PARIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00021,11.2,2,"1","1","0",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,161,2,0
3025,"Attaquant",8,"France","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,76.12,1,"0","0","1",0,1,1,NA,NA,NA,NA,NA,4,178,1,3,5,313,4,1
3035,"Defenseur",1,"Bénin","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,1,1,NA,2,112,1,NA,1,90,1,NA,1,90,1,1
3044,"Attaquant",7,"Sénégal","CFM - CENTRE DE FORMATION VALENCIENNES F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,104,1,0
3050,"Milieu",6,"France","CFM - CENTRE DE FORMATION ST. MALHERBE CAEN-CALV.B.NORM.","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,90,1,"0","1","0",1,1,1,1,7,479,5,NA,15,996,11,NA,1,65,1,1
3051,"Attaquant",10,"Etats-Unis","aucun","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,5,193,2,0
3064,"Milieu",2,"France","aucun","aucun",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,29.15,1,"1","0","0",0,1,1,NA,NA,NA,NA,1,6,213,1,NA,4,227,2,0
3071,"Defenseur",12,"France","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e-05,10.64,2,"0","1","0",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,27,NA,0
3088,"Attaquant",1,"France","CFM - CENTRE DE FORMATION EN AVANT GUINGAMP","aucun",0,0,10.73,11.65,12.56,11.65,10.73,10.73,12.56,11.65,11.65,10.73,9e-04,22.76,1,"0","0","0",0,1,1,NA,NA,NA,NA,NA,3,114,1,1,3,141,2,0
3102,"Milieu",2,"Comores","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","PEM - PEM AIX EN PROVENCE",0,0,14.61,11.84,9.48,11.84,11.84,11.84,9.48,11.84,11.84,13.41,3e-05,15.04,2,"0","1","0",1,1,1,NA,3,199,2,NA,4,150,1,NA,2,101,1,0
3114,"Milieu",7,"Cameroun","CFM - CENTRE DE FORMATION A.J. AUXERROISE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0","0","0",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,29,NA,1
3117,"Attaquant",7,"France","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00065,18.16,1,"0","1","0",1,1,1,3,4,107,1,NA,2,36,NA,2,5,284,4,0
3118,"Attaquant",7,"France","aucun","aucun",1,1,14.56,14.56,14.56,14.56,14.56,14.56,NA,NA,NA,NA,0.00107,34.66,2,"1","0","1",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,11,583,6,1
3135,"Milieu",1,"France","CFM - CENTRE DE FORMATION F.C. NANTES","PEM - PEM SAINT-SEBASTIEN SUR LOIRE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,55.33,1,"0","1","0",1,1,1,NA,7,397,5,NA,7,604,7,NA,5,309,4,0
3139,"Defenseur",2,"Togo","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00029,44.37,1,"0","1","0",1,1,1,1,8,537,7,NA,3,270,3,NA,5,404,4,0
